source,metabolite,comparison,direction,log2fc,control_mean,disease_mean,p_value,fdr,priority_score
Figure6D+F raw data.xlsx:FDR,arginine,KO_or_PH_vs_WT_or_control,down,-0.791494879904443,495762.33,286424.276,0.0029891400309105,0.0270373858656616,2.0325867920438525
Figure6D+F raw data.xlsx:Heatmap,arginine,KO_or_PH_vs_WT_or_control,down,-0.791494879904443,495762.33,286424.276,0.0029891400309105,0.0270373858656616,2.0325867920438525
Figure6D+F raw data.xlsx:FDR,tyrosine,KO_or_PH_vs_WT_or_control,down,-0.750647246626398,2925876.9,1738956.478,0.00331762247713959,0.0270373858656616,1.9276886278292857
Figure6D+F raw data.xlsx:Heatmap,tyrosine,KO_or_PH_vs_WT_or_control,down,-0.750647246626398,2925876.9,1738956.478,0.00331762247713959,0.0270373858656616,1.9276886278292857
Figure6D+F raw data.xlsx:FDR,glucosamine-1-phosphate,KO_or_PH_vs_WT_or_control,down,-1.03865849439299,205793.616,100176.196,0.0243819582425086,0.164778688307518,1.8520308796841392
sFig6A Raw data.xlsx,C16:2,PH-mk_vs_Control-mk,down,-0.09564729698125282,552799.9066666666,517339.0433333333,,,1.8246061397842808
sFig6A Raw data.xlsx,sedoheptoluse-7-phosphate,PH-CD41_vs_Control-CD41,down,-0.11061707112012659,78648.96666666666,72844.03000000001,,,1.7989829641656376
sFig6A Raw data.xlsx,S-Adenosylmethionine,PH-mk_vs_Control-mk,up,0.11382329923686234,52874.47333333333,57215.049999999996,,,1.7988784779047529
Figure6D+F raw data.xlsx:FDR,tryptophan,KO_or_PH_vs_WT_or_control,down,-0.717527995383244,2959159.08,1799578.78,0.00432589622954321,0.0329487052851208,1.7810204702703833
Figure6D+F raw data.xlsx:Heatmap,tryptophan,KO_or_PH_vs_WT_or_control,down,-0.717527995383244,2959159.08,1799578.78,0.00432589622954321,0.0329487052851208,1.7810204702703833
Figure6D+F raw data.xlsx:FDR,proline,KO_or_PH_vs_WT_or_control,down,-0.673580146365775,3903064.89,2447022.39,0.00448029169068057,0.0270373858656616,1.7297775938251574
