gene_symbol
Pdgfb
Tgfb1
F3
Thbs1
Glo1
Rab27a
Tsg101
Cd44
Lox
Loxl1
Loxl2
Mki67
Amd1
Amd2
Pnp
Nt5c2
Nt5e
